sku,cat1,cat2,cat3
03.284.Rosa,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03.284.Verde,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03.285.rosa,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03.285.verde,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
030262,Cosmética y Belleza,Corporal,Hidratación
030270,Cosmética y Belleza,Corporal,Hidratación
030486,Cosmética y Belleza,Facial,Antimanchas
03050109,Higiene y cuidado personal,Cabello,Anticaída
031189.crema,Cosmética y Belleza,Corporal,Hidratación
0316669,Infantil,Higiene infantil,Colonias
031844,Salud,Mujer,Menopausia
032010037,Nutrición,Alimentos,Edulcorantes
032050203,Salud,Vitaminas y Minerales,Multivitamínicos
032050204,Salud,Vitaminas y Minerales,Multivitamínicos
032050279,Salud,Vitaminas y Minerales,Multivitamínicos
032050284,Nutrición,Nutrición Deportiva,Proteínas
032050285,Nutrición,Nutrición Deportiva,Proteínas
032050286,Nutrición,Nutrición Deportiva,Proteínas
"032050322,Salud,""Huesos, articulaciones y músculos"",Colágeno"
"032050323,Salud,""Huesos, articulaciones y músculos"",Colágeno"
032050324,Nutrición,Nutrición Deportiva,complementos
032050326,Nutrición,Nutrición Deportiva,Proteínas
"032050376,Salud,""Huesos, articulaciones y músculos"",Colágeno"
"032050377,Salud,""Huesos, articulaciones y músculos"",Colágeno"
032050392,Salud,Aparato Respiratorio,Garganta y tos
032050393,Salud,Aparato Respiratorio,Garganta y tos
032050394,Salud,Belleza,Cabello | Uñas
032060102,Cosmética y Belleza,Facial,Acné
032060117,Cosmética y Belleza,Facial,Acné
032060127,Higiene y cuidado personal,Cabello,Champu
032060130,Cosmética y Belleza,Facial,Antiarrugas
032060131,Cosmética y Belleza,Facial,Hidratantes
032060138,Cosmética y Belleza,Facial,Hidratantes
032060615,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
032060619,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
032060627,Salud,Problemas cardiovasculares y circulación,Piernas cansadas y varices
032060628,Cosmética y Belleza,Sol,Protectores solares
032060629,Cosmética y Belleza,Sol,Protección Nieve
03242amarillo,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03242Azul,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03242Rosa,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
032769,Higiene y cuidado personal,Dental,Cepillos eléctricos
03280naranja,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03280rosa,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03280verde,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03281naranja,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03281rosa,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03281verde,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
033829,Higiene y cuidado personal,Íntima,Tampones
034181,Cosmética y Belleza,Corporal,Hidratación
036160,Salud,Óptica,Líquido lentillas
036335,Salud,Óptica,Líquido lentillas
040145,Higiene y cuidado personal,Cabello,Tintes de Pelo
04028,Salud,Aparato Respiratorio,Garganta y tos
040335,Higiene y cuidado personal,Cabello,Champu
040420,Higiene y cuidado personal,Cabello,Champu
040612,Salud,Salud Sexual,Accesorios
04075,Salud,Vitaminas y Minerales,Suplementos
040774,Salud,Problemas cardiovasculares y circulación,
041449,Salud,Vitaminas y Minerales,Suplementos
041497,Higiene y cuidado personal,Cabello,Anticaída
041498,Higiene y cuidado personal,Cabello,Anticaída
041525,Salud,Óptica,Líquido lentillas
041533,Salud,Óptica,Líquido lentillas
041640,Salud,Óptica,Líquido lentillas
041657,Salud,Óptica,Líquido lentillas
043701,Higiene y cuidado personal,Corporal,Depilatorios
043702,Higiene y cuidado personal,Corporal,Depilatorios
043704,Higiene y cuidado personal,Corporal,Depilatorios
043707,Cosmética y Belleza,Hombres,Afeitado Masculino
043715,Cosmética y Belleza,Hombres,Afeitado Masculino
044050,Cosmética y Belleza,Ojos,Cejas
044381,Infantil,Accesorios de alimentación,Baberos y otros
044382,Infantil,Accesorios de alimentación,Baberos y otros
044383,Infantil,Accesorios de alimentación,Baberos y otros
044384,Infantil,Accesorios de alimentación,Baberos y otros
045BPD,Infantil,Chupetes,Chupetes Personalizados
046151,Salud,Descanso y relajación,
"046152,Salud,""Huesos, articulaciones y músculos"",Colágeno"
046153,Salud,Descanso y relajación,
046155,Salud,Trastornos digestivos ,Función hepática
046156,Salud,Aparato Respiratorio,pecho
046157,Salud,Problemas cardiovasculares y circulación,
046159,Salud,Descanso y relajación,
046160,Higiene y cuidado personal,Cabello,Anticaída
046161,Nutrición,Pérdida de peso,Quemagrasas
046210,Salud,Belleza,piel
047696,Cosmética y Belleza,Sol,After-Sun
048763,Cosmética y Belleza,Ojos,Contorno de Ojos
049084,Salud,Vitaminas y Minerales,Minerales
049220,Nutrición,Pérdida de peso,Quemagrasas
049846,Cosmética y Belleza,Facial,Antimanchas
049847,Cosmética y Belleza,Facial,Antimanchas
049848,Cosmética y Belleza,Ojos,Contorno de Ojos
049CP,Infantil,Chupetes,Chupetes Personalizados
050008DIS,Salud,Aromaterapia,Aceites esenciales
050025,Nutrición,Pérdida de peso,Saciantes
"050032,Salud,""Huesos, articulaciones y músculos"",Colágeno"
050040,Higiene y cuidado personal,Cabello,Champús especiales
050042,Higiene y cuidado personal,Cabello,Champu
050043DIS,Higiene y cuidado personal,Cabello,Champús especiales
050044,Higiene y cuidado personal,Cabello,Champús especiales
050045IDS,Higiene y cuidado personal,Cabello,Champús especiales
050046,Higiene y cuidado personal,Cabello,Anticaspa
050050DIS,Higiene y cuidado personal,Cabello,Antigrasa
050100,Higiene y cuidado personal,Cabello,Tintes de Pelo
050102,Higiene y cuidado personal,Cabello,Tintes de Pelo
050104,Higiene y cuidado personal,Cabello,Tintes de Pelo
050106,Cosmética y Belleza,Facial,Antiarrugas
050110,Higiene y cuidado personal,Cabello,Tintes de Pelo
050112,Higiene y cuidado personal,Cabello,Tintes de Pelo
050114,Higiene y cuidado personal,Cabello,Tintes de Pelo
050116,Higiene y cuidado personal,Cabello,Tintes de Pelo
050122DIS,Higiene y cuidado personal,Corporal,Geles
050124,Higiene y cuidado personal,Cabello,Tintes de Pelo
050140DIS,Higiene y cuidado personal,Cabello,Mascarillas
050145DIS,Higiene y cuidado personal,Cabello,Anticaída
050168DIS,Higiene y cuidado personal,Corporal,Geles
050174,Cosmética y Belleza,Corporal,Hidratación
050183,Cosmética y Belleza,Ojos,Pestañas
050187,Cosmética y Belleza,Ojos,Cejas
050214,Higiene y cuidado personal,Dental,Colutorios
05070.negra,Cosmética y Belleza,Uñas,Limas y tratamiento uñas
05070.rosa,Cosmética y Belleza,Uñas,Limas y tratamiento uñas
050853,Higiene y cuidado personal,Dental,Cepillos eléctricos
050854,Higiene y cuidado personal,Dental,Cepillos eléctricos
050854.reg,Higiene y cuidado personal,Dental,Cepillos
050PEI,Infantil,Higiene infantil,Canastillas y kits bebé
051021,Infantil,Mobiliario y descanso del bebé,Orinales
052103,Infantil,Accesorios de alimentación,Cubiertos
052141,Infantil,Accesorios de alimentación,Cubiertos
053362,Cosmética y Belleza,Ojos,Cejas
054185,Salud,Aparato Respiratorio,Garganta y tos
054397,Higiene y cuidado personal,Corporal,Depilatorios
054403,Cosmética y Belleza,Hombres,Afeitado Masculino
054408,Cosmética y Belleza,Hombres,Afeitado Masculino
054410,Cosmética y Belleza,Hombres,Afeitado Masculino
054413,Cosmética y Belleza,Hombres,Afeitado Masculino
054653,Higiene y cuidado personal,Facial,Mascarillas
055007,Higiene y cuidado personal,Dental,Cepillos
055366,Infantil,Cambio de pañal,Pañales
055844,Infantil,Cambio de pañal,Pañales
055CAP,Infantil,Mobiliario y descanso del bebé,Otros descanso del bebé
060095,Higiene y cuidado personal,Íntima,Compresas
060103,Higiene y cuidado personal,Íntima,Compresas
0601102,Cosmética y Belleza,Labial,Hidratantes Labiales
06041,Nutrición,Alimentos,Semillas y superalimentos
06047,Salud,Trastornos digestivos ,
"06054,Salud,""Huesos, articulaciones y músculos"",Colágeno"
06104,Salud,Aparato Respiratorio,Garganta y tos
0610500,Cosmética y Belleza,Uñas,Quitaesmalte
061110,Higiene y cuidado personal,Pies,Callos
06134,Salud,Vitaminas y Minerales,Multivitamínicos
061507,Higiene y cuidado personal,Íntima,Compresas
"06155,Salud,""Huesos, articulaciones y músculos"",Colágeno"
06195,Salud,Vitaminas y Minerales,Suplementos
06196,Nutrición,Nutrición Deportiva,complementos
062151,Cosmética y Belleza,Ojos,Cejas
062181,Higiene y cuidado personal,Dental,Cuidados Especiales
062257,Salud,Aparato Urinario,Incontinencia
0632000,Cosmética y Belleza,Uñas,Limas y tratamiento uñas
0632100,Cosmética y Belleza,Uñas,Limas y tratamiento uñas
063384,Cosmética y Belleza,Hombres,Afeitado Masculino
063396,Higiene y cuidado personal,Íntima,Compresas
063397,Higiene y cuidado personal,Íntima,Compresas
063399,Infantil,Cambio de pañal,Pañales
063400,Infantil,Cambio de pañal,Pañales
063401,Infantil,Cambio de pañal,Pañales
06399,Salud,Vitaminas y Minerales,Suplementos
0650302,Cosmética y Belleza,Uñas,Pintauñas
0650326,Cosmética y Belleza,Uñas,Pintauñas
06621,Cosmética y Belleza,Ojos,Pestañas
0668914,Cosmética y Belleza,Ojos,Lapiz y sombra de Ojos
0668915,Cosmética y Belleza,Ojos,Lapiz y sombra de Ojos
0668924,Cosmética y Belleza,Ojos,Lapiz y sombra de Ojos
066957,Cosmética y Belleza,Ojos,Contorno de Ojos
067207,Higiene y cuidado personal,Dental,Cepillos eléctricos
067214,Higiene y cuidado personal,Dental,Cepillos eléctricos
067217,Higiene y cuidado personal,Dental,Cepillos eléctricos
067602,Higiene y cuidado personal,Dental,Cepillos eléctricos
067MOE,Infantil,Guardería,Mochilas infantiles
068026,Salud,Vitaminas y Minerales,Suplementos
068957,Cosmética y Belleza,Corporal,Hidratación
0700000160,Salud,Belleza,Cabello | Uñas
0700000250,Salud,Vitaminas y Minerales,Minerales
0700000255,Salud,Vitaminas y Minerales,Multivitamínicos
"0700000274,Salud,""Huesos, articulaciones y músculos"",Colágeno"
0700000283,Salud,Vitaminas y Minerales,Suplementos
0700000287,Salud,Vitaminas y Minerales,Multivitamínicos
0700000303,Salud,Vitaminas y Minerales,Minerales
0700000315,Salud,Vitaminas y Minerales,Minerales
0700000333,Salud,Vitaminas y Minerales,Minerales
0700000334,Salud,Vitaminas y Minerales,Multivitamínicos
"0700000388,Salud,""Huesos, articulaciones y músculos"",Colágeno"
0700000425,Salud,Trastornos digestivos ,Flora intestinal y digestión
0700000470,Salud,Trastornos digestivos ,Flora intestinal y digestión
0700000914,Salud,Vitaminas y Minerales,Suplementos
0700000963,Salud,Descanso y relajación,
"0700000965,Salud,""Huesos, articulaciones y músculos"",Dolores articulares"
07022.Azul,Cosmética y Belleza,Uñas,Cortauñas y Tijeras
07022.Rosa,Cosmética y Belleza,Uñas,Cortauñas y Tijeras
07022.Verde,Cosmética y Belleza,Uñas,Cortauñas y Tijeras
07093,Salud,Botiquín,Golpes y hematomas
072983,Salud,Óptica,Líquido lentillas
074235,Infantil,Juguetes,Educativos e interactivos
077131,Infantil,Higiene infantil,Toallitas Bebé
0774202,Cosmética y Belleza,Corporal,Hidratación
078022,Salud,Ortopedia,Lesiones
0800053602,Nutrición,Alimentos,Cereales y harinas
0800101124,Nutrición,Alimentos,Postres y dulces
0800101673,Nutrición,Alimentos,Cereales y harinas
08014azul,Higiene y cuidado personal,Pies,Callos
08014gris,Higiene y cuidado personal,Pies,Callos
08014verde,Higiene y cuidado personal,Pies,Callos
081.1,Higiene y cuidado personal,Cabello,Mascarillas
083763,Higiene y cuidado personal,Dental,Colutorios
088419,Cosmética y Belleza,Hombres,Afeitado Masculino
0890318,Salud,Vitaminas y Minerales,Suplementos
"09-APO000145,Salud,Botiquín,""Apósitos, tiritas y gasas"""
"0901055,Salud,""Huesos, articulaciones y músculos"",Colágeno"
"0901055.duplo,Salud,""Huesos, articulaciones y músculos"",Colágeno"
"0901056,Salud,""Huesos, articulaciones y músculos"",Colágeno"
"0901056.duplo,Salud,""Huesos, articulaciones y músculos"",Colágeno"
09021,Higiene y cuidado personal,Corporal,Depilatorios
092817,Higiene y cuidado personal,Corporal,Pastilla de Jabón
092923,Higiene y cuidado personal,Corporal,Geles
092CS,Infantil,Chupetes,Chupetes de Silicona
093CUSI,Infantil,Mobiliario y descanso del bebé,Colchones
099.0015,Infantil,Lactancia,Sacaleches
099.0271,Infantil,Lactancia,Sacaleches
099.0275,Infantil,Lactancia,Sacaleches
0A15985,Cosmética y Belleza,Perfumería,Mujer
0A16070,Cosmética y Belleza,Sol,Protectores solares
0A20396,Cosmética y Belleza,Facial,Antiarrugas
0A23892,Cosmética y Belleza,Sol,Solar Pelo
0A24560,Cosmética y Belleza,Perfumería,Mujer
0A25879,Cosmética y Belleza,Hombres,Antiarrugas Hombre
0A25934,Cosmética y Belleza,Sol,After-Sun
0A27785,Cosmética y Belleza,Corporal,Hidratación
0A29066,Cosmética y Belleza,Perfumería,Mujer
0A32069,Cosmética y Belleza,Ojos,Contorno de Ojos
0A32317,Cosmética y Belleza,Labial,Hidratantes Labiales
0A34492,Higiene y cuidado personal,Corporal,Desodorantes
0A34505,Higiene y cuidado personal,Corporal,Exfoliantes
0A36623,Cosmética y Belleza,Manos,Crema de Manos
0A36765,Cosmética y Belleza,Sol,Protectores solares
0A41212,Cosmética y Belleza,Facial,Hidratantes
0A41227,Cosmética y Belleza,Facial,Hidratantes
0A41231,Cosmética y Belleza,Facial,Piel Seca
0A41246,Higiene y cuidado personal,Facial,Mascarillas
0A41250,Cosmética y Belleza,Facial,Hidratantes
